country,country_code,city,state
"Afghanistan",AF,"Shīnḏanḏ","Herat"
"Afghanistan",AF,"Tīr Pul","Herat"
"Afghanistan",AF,"Zindah Jān","Herat"
"Afghanistan",AF,"Darzāb","Jowzjan"
"Afghanistan",AF,"Qarqīn","Jowzjan"
"Afghanistan",AF,"Shibirghān","Jowzjan"
"Afghanistan",AF,"Āqchah","Jowzjan"
"Afghanistan",AF,"Kabul","Kabul"
"Afghanistan",AF,"Mīr Bachah Kōṯ","Kabul"
"Afghanistan",AF,"Paghmān","Kabul"
"Afghanistan",AF,"Kandahār","Kandahar"
"Afghanistan",AF,"Sidqābād","Kapisa"
"Afghanistan",AF,"Khōst","Khost"
"Afghanistan",AF,"Asadabad","Kunar"
"Afghanistan",AF,"Āsmār","Kunar"
"Afghanistan",AF,"Dasht-e Archī","Kunduz Province"
"Afghanistan",AF,"Imām Şāḩib","Kunduz Province"
"Afghanistan",AF,"Khanabad","Kunduz Province"
"Afghanistan",AF,"Kunduz","Kunduz Province"
"Afghanistan",AF,"Qarāwul","Kunduz Province"
"Afghanistan",AF,"Mehtar Lām","Laghman"
"Afghanistan",AF,"Baraki Barak","Logar"
"Afghanistan",AF,"Pul-e ‘Alam","Logar"
"Afghanistan",AF,"Ḩukūmatī Azrah","Logar"
"Afghanistan",AF,"Bāsawul","Nangarhar"
"Afghanistan",AF,"Jalālābād","Nangarhar"
"Afghanistan",AF,"Markaz-e Woluswalī-ye Āchīn","Nangarhar"
"Afghanistan",AF,"Khāsh","Nimruz"
"Afghanistan",AF,"Mīrābād","Nimruz"
"Afghanistan",AF,"Rūdbār","Nimruz"
"Afghanistan",AF,"Zaranj","Nimruz"
"Afghanistan",AF,"Pārūn","Nuristan"
"Afghanistan",AF,"Gardez","Paktia"
"Afghanistan",AF,"Saṟōbī","Paktika"
"Afghanistan",AF,"Zarghūn Shahr","Paktika"
"Afghanistan",AF,"Zaṟah Sharan","Paktika"
"Afghanistan",AF,"Bāzārak","Panjshir"
"Afghanistan",AF,"Charikar","Parwan"
"Afghanistan",AF,"Jabal os Saraj","Parwan"
"Afghanistan",AF,"Aībak","Samangan"
"Afghanistan",AF,"Chīras","Sar-e Pol"
"Afghanistan",AF,"Larkird","Sar-e Pol"
"Afghanistan",AF,"Qal‘ah-ye Shahr","Sar-e Pol"
"Afghanistan",AF,"Sang-e Chārak","Sar-e Pol"
"Afghanistan",AF,"Sar-e Pul","Sar-e Pol"
"Afghanistan",AF,"Tagāw-Bāy","Sar-e Pol"
"Afghanistan",AF,"Tukzār","Sar-e Pol"
"Afghanistan",AF,"Taloqan","Takhar"
"Afghanistan",AF,"Ārt Khwājah","Takhar"
"Afghanistan",AF,"Tarinkot","Urozgan"
"Afghanistan",AF,"Uruzgān","Urozgan"
"Afghanistan",AF,"Qalāt","Zabul"
"Albania",AL,"Banaj","Berat District"
"Albania",AL,"Bashkia Berat","Berat District"
"Albania",AL,"Bashkia Kuçovë","Berat District"
"Albania",AL,"Bashkia Poliçan","Berat District"
"Albania",AL,"Bashkia Skrapar","Berat District"
"Albania",AL,"Berat","Berat District"
"Albania",AL,"Kuçovë","Berat District"
"Albania",AL,"Poliçan","Berat District"
"Albania",AL,"Rrethi i Beratit","Berat District"
"Albania",AL,"Rrethi i Kuçovës","Berat District"
"Albania",AL,"Rrethi i Skraparit","Berat District"
"Albania",AL,"Ura Vajgurore","Berat District"
"Albania",AL,"Çorovodë","Berat District"
"Albania",AL,"Bashkia Bulqizë","Dibër County"
"Albania",AL,"Bashkia Klos","Dibër County"
"Albania",AL,"Bashkia Mat","Dibër County"
"Albania",AL,"Bulqizë","Dibër County"
"Albania",AL,"Burrel","Dibër County"
"Albania",AL,"Klos","Dibër County"
"Albania",AL,"Peshkopi","Dibër County"
"Albania",AL,"Rrethi i Bulqizës","Dibër County"
"Albania",AL,"Rrethi i Dibrës","Dibër County"
"Albania",AL,"Rrethi i Matit","Dibër County"
"Albania",AL,"Ulëz","Dibër County"
"Albania",AL,"Bashkia Durrës","Durrës District"
"Albania",AL,"Bashkia Krujë","Durrës District"
"Albania",AL,"Bashkia Shijak","Durrës District"
"Albania",AL,"Durrës","Durrës District"
"Albania",AL,"Durrës District","Durrës District"
"Albania",AL,"Fushë-Krujë","Durrës District"
"Albania",AL,"Krujë","Durrës District"
"Albania",AL,"Rrethi i Krujës","Durrës District"
"Albania",AL,"Shijak","Durrës District"
"Albania",AL,"Sukth","Durrës District"
"Albania",AL,"Ballsh","Fier County"
"Albania",AL,"Bashkia Divjakë","Fier County"
"Albania",AL,"Bashkia Fier","Fier County"
"Albania",AL,"Bashkia Mallakastër","Fier County"
"Albania",AL,"Bashkia Patos","Fier County"
"Albania",AL,"Divjakë","Fier County"
"Albania",AL,"Fier","Fier County"
"Albania",AL,"Fier-Çifçi","Fier County"
"Albania",AL,"Lushnjë","Fier County"
"Albania",AL,"Patos","Fier County"
"Albania",AL,"Patos Fshat","Fier County"
"Albania",AL,"Roskovec","Fier County"
"Albania",AL,"Rrethi i Mallakastrës","Fier County"
"Albania",AL,"Bashkia Dropull","Gjirokastër District"
"Albania",AL,"Bashkia Kelcyrë","Gjirokastër District"
"Albania",AL,"Bashkia Libohovë","Gjirokastër District"
"Albania",AL,"Bashkia Memaliaj","Gjirokastër District"
"Albania",AL,"Bashkia Përmet","Gjirokastër District"
"Albania",AL,"Bashkia Tepelenë","Gjirokastër District"
"Albania",AL,"Gjinkar","Gjirokastër District"
"Albania",AL,"Gjirokastër","Gjirokastër District"
"Albania",AL,"Këlcyrë","Gjirokastër District"
"Albania",AL,"Lazarat","Gjirokastër District"
"Albania",AL,"Libohovë","Gjirokastër District"
"Albania",AL,"Memaliaj","Gjirokastër District"
"Albania",AL,"Përmet","Gjirokastër District"
"Albania",AL,"Tepelenë","Gjirokastër District"
"Albania",AL,"Bashkia Devoll","Korçë County"
"Albania",AL,"Bashkia Kolonjë","Korçë County"
"Albania",AL,"Bashkia Maliq","Korçë County"
"Albania",AL,"Bashkia Pustec","Korçë County"
"Albania",AL,"Bilisht","Korçë County"
"Albania",AL,"Ersekë","Korçë County"
"Albania",AL,"Korçë","Korçë County"
"Albania",AL,"Leskovik","Korçë County"
"Albania",AL,"Libonik","Korçë County"
"Albania",AL,"Maliq","Korçë County"
"Albania",AL,"Mborje","Korçë County"
"Albania",AL,"Pogradec","Korçë County"
"Albania",AL,"Rrethi i Devollit","Korçë County"
"Albania",AL,"Rrethi i Kolonjës","Korçë County"
"Albania",AL,"Velçan","Korçë County"
"Albania",AL,"Voskopojë","Korçë County"
"Albania",AL,"Bajram Curri","Kukës District"
"Albania",AL,"Krumë","Kukës District"
"Albania",AL,"Kukës","Kukës District"
"Albania",AL,"Rrethi i Hasit","Kukës District"
"Albania",AL,"Rrethi i Kukësit","Kukës District"
"Albania",AL,"Bashkia Kurbin","Lezhë County"
"Albania",AL,"Bashkia Lezhë","Lezhë County"
"Albania",AL,"Bashkia Mirditë","Lezhë County"
"Albania",AL,"Kurbnesh","Lezhë County"
"Albania",AL,"Laç","Lezhë County"
"Albania",AL,"Lezhë","Lezhë County"
"Albania",AL,"Mamurras","Lezhë County"
"Albania",AL,"Milot","Lezhë County"
"Albania",AL,"Rrethi i Kurbinit","Lezhë County"
"Albania",AL,"Rrëshen","Lezhë County"
"Albania",AL,"Rubik","Lezhë County"
"Albania",AL,"Shëngjin","Lezhë County"
"Albania",AL,"Bashkia Malësi e Madhe","Shkodër District"
"Albania",AL,"Bashkia Pukë","Shkodër District"
"Albania",AL,"Bashkia Vau i Dejës","Shkodër District"
"Albania",AL,"Fushë-Arrëz","Shkodër District"
"Albania",AL,"Koplik","Shkodër District"
"Albania",AL,"Pukë","Shkodër District"
"Albania",AL,"Rrethi i Malësia e Madhe","Shkodër District"
"Albania",AL,"Rrethi i Shkodrës","Shkodër District"
"Albania",AL,"Shkodër","Shkodër District"
"Albania",AL,"Vau i Dejës","Shkodër District"
"Albania",AL,"Vukatanë","Shkodër District"
"Albania",AL,"Bashkia Kavajë","Tirana District"
"Albania",AL,"Bashkia Vorë","Tirana District"
"Albania",AL,"Kamëz","Tirana District"
"Albania",AL,"Kavajë","Tirana District"
"Albania",AL,"Krrabë","Tirana District"
"Albania",AL,"Rrethi i Kavajës","Tirana District"
"Albania",AL,"Rrethi i Tiranës","Tirana District"
"Albania",AL,"Rrogozhinë","Tirana District"
"Albania",AL,"Sinaballaj","Tirana District"
"Albania",AL,"Tirana","Tirana District"
"Albania",AL,"Vorë","Tirana District"
"Albania",AL,"Bashkia Finiq","Vlorë County"
"Albania",AL,"Bashkia Himarë","Vlorë County"
"Albania",AL,"Bashkia Konispol","Vlorë County"
"Albania",AL,"Bashkia Selenicë","Vlorë County"
"Albania",AL,"Bashkia Vlorë","Vlorë County"
"Albania",AL,"Delvinë","Vlorë County"
"Albania",AL,"Himarë","Vlorë County"
"Albania",AL,"Konispol","Vlorë County"
"Albania",AL,"Ksamil","Vlorë County"
"Albania",AL,"Orikum","Vlorë County"
"Albania",AL,"Rrethi i Delvinës","Vlorë County"
"Albania",AL,"Sarandë","Vlorë County"
"Albania",AL,"Selenicë","Vlorë County"
"Albania",AL,"Vlorë","Vlorë County"
"Algeria",DZ,"Adrar","Adrar"
"Algeria",DZ,"Aoulef","Adrar"
"Algeria",DZ,"Reggane","Adrar"
"Algeria",DZ,"Timimoun","Adrar"
"Algeria",DZ,"Algiers","Algiers"
"Algeria",DZ,"Aïn Taya","Algiers"
"Algeria",DZ,"Bab Ezzouar","Algiers"
"Algeria",DZ,"Birkhadem","Algiers"
"Algeria",DZ,"Bordj el Kiffan","Algiers"
"Algeria",DZ,"Dar el Beïda","Algiers"
"Algeria",DZ,"Rouiba","Algiers"
"Algeria",DZ,"Annaba","Annaba"
"Algeria",DZ,"Berrahal","Annaba"
"Algeria",DZ,"Drean","Annaba"
"Algeria",DZ,"El Hadjar","Annaba"
"Algeria",DZ,"Aïn Defla","Aïn Defla"
"Algeria",DZ,"El Abadia","Aïn Defla"
"Algeria",DZ,"El Attaf","Aïn Defla"
"Algeria",DZ,"Khemis Miliana","Aïn Defla"
"Algeria",DZ,"Theniet el Had","Aïn Defla"
"Algeria",DZ,"Aïn Temouchent","Aïn Témouchent"
"Algeria",DZ,"Beni Saf","Aïn Témouchent"
"Algeria",DZ,"El Amria","Aïn Témouchent"
"Algeria",DZ,"El Malah","Aïn Témouchent"
"Algeria",DZ,"Hammam Bou Hadjar","Aïn Témouchent"
"Algeria",DZ,"Arris","Batna"
"Algeria",DZ,"Aïn Touta","Batna"
"Algeria",DZ,"Barika","Batna"
"Algeria",DZ,"Batna","Batna"
"Algeria",DZ,"Boumagueur","Batna"
"Algeria",DZ,"Merouana","Batna"
"Algeria",DZ,"Râs el Aïoun","Batna"
"Algeria",DZ,"Tazoult-Lambese","Batna"
"Algeria",DZ,"Biskra","Biskra"
"Algeria",DZ,"Oumache","Biskra"
"Algeria",DZ,"Sidi Khaled","Biskra"
"Algeria",DZ,"Sidi Okba","Biskra"
"Algeria",DZ,"Tolga","Biskra"
"Algeria",DZ,"Zeribet el Oued","Biskra"
"Algeria",DZ,"Beni Mered","Blida"
"Algeria",DZ,"Blida","Blida"
"Algeria",DZ,"Boufarik","Blida"
"Algeria",DZ,"Bougara","Blida"
"Algeria",DZ,"Bouinan","Blida"
"Algeria",DZ,"Boû Arfa","Blida"
"Algeria",DZ,"Chebli","Blida"
"Algeria",DZ,"Chiffa","Blida"
"Algeria",DZ,"Larbaâ","Blida"
"Algeria",DZ,"Meftah","Blida"
"Algeria",DZ,"Sidi Moussa","Blida"
"Algeria",DZ,"Souma","Blida"
"Algeria",DZ,"Bordj Bou Arreridj","Bordj Bou Arréridj"
"Algeria",DZ,"Bordj Ghdir","Bordj Bou Arréridj"
"Algeria",DZ,"Bordj Zemoura","Bordj Bou Arréridj"
"Algeria",DZ,"El Achir","Bordj Bou Arréridj"
"Algeria",DZ,"Mansourah","Bordj Bou Arréridj"
"Algeria",DZ,"Melouza","Bordj Bou Arréridj"
"Algeria",DZ,"Râs el Oued","Bordj Bou Arréridj"
"Algeria",DZ,"Arbatache","Boumerdès"
"Algeria",DZ,"Beni Amrane","Boumerdès"
"Algeria",DZ,"Boudouaou","Boumerdès"
"Algeria",DZ,"Boumerdas","Boumerdès"
"Algeria",DZ,"Chabet el Ameur","Boumerdès"
"Algeria",DZ,"Dellys","Boumerdès"
"Algeria",DZ,"Khemis el Khechna","Boumerdès"
"Algeria",DZ,"Makouda","Boumerdès"
"Algeria",DZ,"Naciria","Boumerdès"
"Algeria",DZ,"Ouled Moussa","Boumerdès"
"Algeria",DZ,"Reghaïa","Boumerdès"
"Algeria",DZ,"Tadmaït","Boumerdès"
"Algeria",DZ,"Thenia","Boumerdès"
"Algeria",DZ,"Tizi Gheniff","Boumerdès"
"Algeria",DZ,"Aïn Bessem","Bouïra"
"Algeria",DZ,"Bouïra","Bouïra"
"Algeria",DZ,"Chorfa","Bouïra"
"Algeria",DZ,"Draa el Mizan","Bouïra"
"Algeria",DZ,"Lakhdaria","Bouïra"
"Algeria",DZ,"Sour el Ghozlane","Bouïra"
"Algeria",DZ,"Béchar","Béchar"
"Algeria",DZ,"Akbou","Béjaïa"
"Algeria",DZ,"Amizour","Béjaïa"
"Algeria",DZ,"Barbacha","Béjaïa"
"Algeria",DZ,"Bejaïa","Béjaïa"
"Algeria",DZ,"El Kseur","Béjaïa"
"Algeria",DZ,"Feraoun","Béjaïa"
"Algeria",DZ,"Seddouk","Béjaïa"
"Algeria",DZ,"el hed","Béjaïa"
"Algeria",DZ,"Abou el Hassan","Chlef"
"Algeria",DZ,"Boukadir","Chlef"
"Algeria",DZ,"Chlef","Chlef"
"Algeria",DZ,"Ech Chettia","Chlef"
"Algeria",DZ,"Oued Fodda","Chlef"
"Algeria",DZ,"Oued Sly","Chlef"
"Algeria",DZ,"Sidi Akkacha","Chlef"
"Algeria",DZ,"Aïn Smara","Constantine"
"Algeria",DZ,"Constantine","Constantine"
"Algeria",DZ,"Didouche Mourad","Constantine"
"Algeria",DZ,"El Khroub","Constantine"
"Algeria",DZ,"Hamma Bouziane","Constantine"
"Algeria",DZ,"’Aïn Abid","Constantine"
"Algeria",DZ,"Aïn Oussera","Djelfa"
"Algeria",DZ,"Birine","Djelfa"
"Algeria",DZ,"Charef","Djelfa"
"Algeria",DZ,"Dar Chioukh","Djelfa"
"Algeria",DZ,"Djelfa","Djelfa"
"Algeria",DZ,"El Idrissia","Djelfa"
"Algeria",DZ,"Messaad","Djelfa"
"Algeria",DZ,"’Aïn el Bell","Djelfa"
"Algeria",DZ,"Brezina","El Bayadh"
"Algeria",DZ,"El Abiodh Sidi Cheikh","El Bayadh"
"Algeria",DZ,"El Bayadh","El Bayadh"
"Algeria",DZ,"Debila","El Oued"
"Algeria",DZ,"El Oued","El Oued"
"Algeria",DZ,"Reguiba","El Oued"
"Algeria",DZ,"Robbah","El Oued"
"Algeria",DZ,"Ben Mehidi","El Tarf"
"Algeria",DZ,"Besbes","El Tarf"
"Algeria",DZ,"El Kala","El Tarf"
"Algeria",DZ,"El Tarf","El Tarf"
"Algeria",DZ,"Berriane","Ghardaïa"
"Algeria",DZ,"Ghardaïa","Ghardaïa"
"Algeria",DZ,"Metlili Chaamba","Ghardaïa"
"Algeria",DZ,"Boumahra Ahmed","Guelma"
"Algeria",DZ,"Guelma","Guelma"
"Algeria",DZ,"Héliopolis","Guelma"
"Algeria",DZ,"Illizi","Illizi"
"Algeria",DZ,"Jijel","Jijel"
"Algeria",DZ,"Khenchela","Khenchela"
"Algeria",DZ,"Aflou","Laghouat"
"Algeria",DZ,"Laghouat","Laghouat"
"Algeria",DZ,"M’Sila","M'Sila"
"Algeria",DZ,"Sidi Aïssa","M'Sila"
"Algeria",DZ,"‘Aïn el Hadjel","M'Sila"
"Algeria",DZ,"’Aïn el Melh","M'Sila"
"Algeria",DZ,"Bou Hanifia el Hamamat","Mascara"
"Algeria",DZ,"Mascara","Mascara"
"Algeria",DZ,"Oued el Abtal","Mascara"
"Algeria",DZ,"Sig","Mascara"
"Algeria",DZ,"Chelghoum el Aïd","Mila"
"Algeria",DZ,"Mila","Mila"
"Algeria",DZ,"Rouached","Mila"
"Algeria",DZ,"Sidi Mérouane","Mila"
"Algeria",DZ,"Telerghma","Mila"
"Algeria",DZ,"Mostaganem","Mostaganem"
"Algeria",DZ,"Berrouaghia","Médéa"
"Algeria",DZ,"Ksar el Boukhari","Médéa"
"Algeria",DZ,"Médéa","Médéa"
"Algeria",DZ,"’Aïn Boucif","Médéa"
"Algeria",DZ,"Aïn Sefra","Naama"
"Algeria",DZ,"Naama","Naama"
"Algeria",DZ,"Aïn el Bya","Oran"
"Algeria",DZ,"Bir el Djir","Oran"
"Algeria",DZ,"Bou Tlelis","Oran"
"Algeria",DZ,"Es Senia","Oran"
"Algeria",DZ,"Mers el Kebir","Oran"
"Algeria",DZ,"Oran","Oran"
"Algeria",DZ,"Sidi ech Chahmi","Oran"
"Algeria",DZ,"’Aïn el Turk","Oran"
"Algeria",DZ,"Djamaa","Ouargla"
"Algeria",DZ,"El Hadjira","Ouargla"
"Algeria",DZ,"Hassi Messaoud","Ouargla"
"Algeria",DZ,"Megarine","Ouargla"
"Algeria",DZ,"Ouargla","Ouargla"
"Algeria",DZ,"Rouissat","Ouargla"
"Algeria",DZ,"Sidi Amrane","Ouargla"
"Algeria",DZ,"Tebesbest","Ouargla"
"Algeria",DZ,"Touggourt","Ouargla"
"Algeria",DZ,"Aïn Beïda","Oum El Bouaghi"
"Algeria",DZ,"Aïn Fakroun","Oum El Bouaghi"
"Algeria",DZ,"Aïn Kercha","Oum El Bouaghi"
"Algeria",DZ,"El Aouinet","Oum El Bouaghi"
"Algeria",DZ,"Meskiana","Oum El Bouaghi"
"Algeria",DZ,"Oum el Bouaghi","Oum El Bouaghi"
"Algeria",DZ,"Ammi Moussa","Relizane"
"Algeria",DZ,"Djidiouia","Relizane"
"Algeria",DZ,"Mazouna","Relizane"
"Algeria",DZ,"Oued Rhiou","Relizane"
"Algeria",DZ,"Relizane","Relizane"
"Algeria",DZ,"Smala","Relizane"
"Algeria",DZ,"Zemoura","Relizane"
"Algeria",DZ,"’Aïn Merane","Relizane"
"Algeria",DZ,"Saïda","Saïda"
"Algeria",DZ,"’Aïn el Hadjar","Saïda"
"Algeria",DZ,"Aïn El Berd District","Sidi Bel Abbès"
"Algeria",DZ,"Balidat Ameur","Sidi Bel Abbès"
"Algeria",DZ,"Belarbi","Sidi Bel Abbès"
"Algeria",DZ,"Ben Badis, Sid Bel Abbés","Sidi Bel Abbès"
"Algeria",DZ,"Djamaa","Sidi Bel Abbès"
"Algeria",DZ,"El Bour","Sidi Bel Abbès"
"Algeria",DZ,"El Hadjira","Sidi Bel Abbès"
"Algeria",DZ,"Haoud El Hamra","Sidi Bel Abbès"
"Algeria",DZ,"Hassi Messaoud","Sidi Bel Abbès"
"Algeria",DZ,"Lamtar","Sidi Bel Abbès"
"Algeria",DZ,"Marhoum","Sidi Bel Abbès"
"Algeria",DZ,"Megarine","Sidi Bel Abbès"
"Algeria",DZ,"Merine","Sidi Bel Abbès"
"Algeria",DZ,"Mezaourou","Sidi Bel Abbès"
"Algeria",DZ,"Moggar","Sidi Bel Abbès"
"Algeria",DZ,"Moulay Slissen","Sidi Bel Abbès"
"Algeria",DZ,"N'Goussa","Sidi Bel Abbès"
"Algeria",DZ,"Ouargla","Sidi Bel Abbès"
"Algeria",DZ,"Rouissat","Sidi Bel Abbès"
"Algeria",DZ,"Sfissef","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Ali Boussidi","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Amrane","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Bel Abbès","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Brahim","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Hamadouche","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Slimane","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Yacoub","Sidi Bel Abbès"
"Algeria",DZ,"Sidi Yahia","Sidi Bel Abbès"
"Algeria",DZ,"Tabia, Sid Bel Abbés","Sidi Bel Abbès"
"Algeria",DZ,"Taibet","Sidi Bel Abbès"
"Algeria",DZ,"Tamellaht","Sidi Bel Abbès"
"Algeria",DZ,"Tamerna Djedida","Sidi Bel Abbès"
"Algeria",DZ,"Tebesbest","Sidi Bel Abbès"
"Algeria",DZ,"Teghalimet","Sidi Bel Abbès"
"Algeria",DZ,"Telagh","Sidi Bel Abbès"
"Algeria",DZ,"Tenezara","Sidi Bel Abbès"
"Algeria",DZ,"Tenira","Sidi Bel Abbès"
"Algeria",DZ,"Tessala","Sidi Bel Abbès"
"Algeria",DZ,"Touggourt","Sidi Bel Abbès"
"Algeria",DZ,"Zerouala","Sidi Bel Abbès"
"Algeria",DZ,"Azzaba","Skikda"
"Algeria",DZ,"Karkira","Skikda"
"Algeria",DZ,"Skikda","Skikda"
"Algeria",DZ,"Tamalous","Skikda"
"Algeria",DZ,"Sedrata","Souk Ahras"
"Algeria",DZ,"Souk Ahras","Souk Ahras"
"Algeria",DZ,"Aïn Arnat","Sétif"
"Algeria",DZ,"BABOR - VILLE","Sétif"
"Algeria",DZ,"Bougaa","Sétif"
"Algeria",DZ,"El Eulma","Sétif"
"Algeria",DZ,"Salah Bey","Sétif"
"Algeria",DZ,"Sétif","Sétif"
"Algeria",DZ,"I-n-Salah","Tamanghasset"
"Algeria",DZ,"Tamanrasset","Tamanghasset"
"Algeria",DZ,"Djebilet Rosfa","Tiaret"
"Algeria",DZ,"Frenda","Tiaret"
"Algeria",DZ,"Ksar Chellala","Tiaret"
"Algeria",DZ,"Mehdia daira de meghila","Tiaret"
"Algeria",DZ,"Sougueur","Tiaret"
"Algeria",DZ,"Tiaret","Tiaret"
"Algeria",DZ,"’Aïn Deheb","Tiaret"
"Algeria",DZ,"Tindouf","Tindouf"
"Algeria",DZ,"Baraki","Tipasa"
"Algeria",DZ,"Bou Ismaïl","Tipasa"
"Algeria",DZ,"Cheraga","Tipasa"
"Algeria",DZ,"Douera","Tipasa"
"Algeria",DZ,"El Affroun","Tipasa"
"Algeria",DZ,"Hadjout","Tipasa"
"Algeria",DZ,"Kolea","Tipasa"
"Algeria",DZ,"Mouzaïa","Tipasa"
"Algeria",DZ,"Oued el Alleug","Tipasa"
"Algeria",DZ,"Saoula","Tipasa"
"Algeria",DZ,"Tipasa","Tipasa"
"Algeria",DZ,"Zeralda","Tipasa"
"Algeria",DZ,"’Aïn Benian","Tipasa"
"Algeria",DZ,"Lardjem","Tissemsilt"
"Algeria",DZ,"Tissemsilt","Tissemsilt"
"Algeria",DZ,"Arhribs","Tizi Ouzou"
"Algeria",DZ,"Azazga","Tizi Ouzou"
"Algeria",DZ,"Beni Douala","Tizi Ouzou"
"Algeria",DZ,"Boghni","Tizi Ouzou"
"Algeria",DZ,"Boudjima","Tizi Ouzou"
"Algeria",DZ,"Chemini","Tizi Ouzou"
"Algeria",DZ,"Draa Ben Khedda","Tizi Ouzou"
"Algeria",DZ,"Freha","Tizi Ouzou"
"Algeria",DZ,"Ighram","Tizi Ouzou"
"Algeria",DZ,"L’Arbaa Naït Irathen","Tizi Ouzou"
"Algeria",DZ,"Mekla","Tizi Ouzou"
"Algeria",DZ,"Timizart","Tizi Ouzou"
"Algeria",DZ,"Tirmitine","Tizi Ouzou"
"Algeria",DZ,"Tizi Ouzou","Tizi Ouzou"
"Algeria",DZ,"Tizi Rached","Tizi Ouzou"
"Algeria",DZ,"Tizi-n-Tleta","Tizi Ouzou"
"Algeria",DZ,"’Aïn el Hammam","Tizi Ouzou"
"Algeria",DZ,"Beni Mester","Tlemcen"
"Algeria",DZ,"Bensekrane","Tlemcen"
"Algeria",DZ,"Chetouane","Tlemcen"
"Algeria",DZ,"Hennaya","Tlemcen"
"Algeria",DZ,"Mansoûra","Tlemcen"
"Algeria",DZ,"Nedroma","Tlemcen"
"Algeria",DZ,"Ouled Mimoun","Tlemcen"
"Algeria",DZ,"Remchi","Tlemcen"
"Algeria",DZ,"Sebdou","Tlemcen"
"Algeria",DZ,"Sidi Abdelli","Tlemcen"
"Algeria",DZ,"Sidi Senoussi سيدي سنوسي","Tlemcen"
"Algeria",DZ,"Tlemcen","Tlemcen"
"Algeria",DZ,"Bir el Ater","Tébessa"
"Algeria",DZ,"Cheria","Tébessa"
"Algeria",DZ,"Hammamet","Tébessa"
"Algeria",DZ,"Tébessa","Tébessa"
"Andorra",AD,"Andorra la Vella","Andorra la Vella"
"Andorra",AD,"Canillo","Canillo"
"Andorra",AD,"El Tarter","Canillo"
"Andorra",AD,"Encamp","Encamp"
"Andorra",AD,"Pas de la Casa","Encamp"
"Andorra",AD,"les Escaldes","Escaldes-Engordany"
"Andorra",AD,"Arinsal","La Massana"
"Andorra",AD,"la Massana","La Massana"
"Andorra",AD,"Ordino","Ordino"
"Andorra",AD,"Sant Julià de Lòria","Sant Julià de Lòria"
"Angola",AO,"Caxito","Bengo Province"
"Angola",AO,"Benguela","Benguela Province"
"Angola",AO,"Catumbela","Benguela Province"
"Angola",AO,"Lobito","Benguela Province"
"Angola",AO,"Camacupa","Bié Province"
"Angola",AO,"Catabola","Bié Province"
"Angola",AO,"Chissamba","Bié Province"
"Angola",AO,"Cuito","Bié Province"
"Angola",AO,"Cabinda","Cabinda Province"
"Angola",AO,"Menongue","Cuando Cubango Province"
"Angola",AO,"Camabatela","Cuanza Norte Province"
"Angola",AO,"N’dalatando","Cuanza Norte Province"
"Angola",AO,"Quibala","Cuanza Sul"
